"","Animal","Cage","Strain","Genotype","Age","Assay","Values","Feeding","Treatment","HFD","Rapamycin","Weight"
"691","C57BL/6J-EarTag #223",137774,"C57BL/6J","+/+",71,"Body Weight",22800,"fasted","High Fat Diet",TRUE,FALSE,22.8
"791","C57BL/6J-EarTag #224",137776,"C57BL/6J","+/+",71,"Body Weight",22700,"fasted","High Fat Diet",TRUE,FALSE,22.7
"801","C57BL/6J-EarTag #226",137776,"C57BL/6J","+/+",71,"Body Weight",22200,"fasted","High Fat Diet",TRUE,FALSE,22.2
"811","C57BL/6J-EarTag #227",137776,"C57BL/6J","+/+",71,"Body Weight",23500,"fasted","High Fat Diet",TRUE,FALSE,23.5
"821","C57BL/6J-EarTag #228",137776,"C57BL/6J","+/+",71,"Body Weight",23100,"fasted","High Fat Diet",TRUE,FALSE,23.1
"831","C57BL/6J-EarTag #229",139574,"C57BL/6J","+/+",71,"Body Weight",22900,"fasted","High Fat Diet",TRUE,FALSE,22.9
"841","C57BL/6J-EarTag #230",139574,"C57BL/6J","+/+",71,"Body Weight",24000,"fasted","High Fat Diet",TRUE,FALSE,24
"851","C57BL/6J-EarTag #232",139574,"C57BL/6J","+/+",71,"Body Weight",22900,"fasted","High Fat Diet",TRUE,FALSE,22.9
"861","C57BL/6J-EarTag #233",139574,"C57BL/6J","+/+",71,"Body Weight",21300,"fasted","High Fat Diet",TRUE,FALSE,21.3
"179","C57BL/6J-EarTag #102",2061503,"C57BL/6J","+/+",152,"Body Weight",32850,"fed","High Fat Diet",TRUE,FALSE,32.85
"180","C57BL/6J-EarTag #103",2061503,"C57BL/6J","+/+",152,"Body Weight",33050,"fed","High Fat Diet",TRUE,FALSE,33.05
"181","C57BL/6J-EarTag #104",2061503,"C57BL/6J","+/+",152,"Body Weight",35770,"fed","High Fat Diet",TRUE,FALSE,35.77
"182","C57BL/6J-EarTag #105",2061503,"C57BL/6J","+/+",152,"Body Weight",31780,"fed","High Fat Diet",TRUE,FALSE,31.78
"183","C57BL/6J-EarTag #106",2061504,"C57BL/6J","+/+",152,"Body Weight",30750,"fed","Normal Chow Diet",FALSE,FALSE,30.75
"184","C57BL/6J-EarTag #107",2061504,"C57BL/6J","+/+",152,"Body Weight",28100,"fed","Normal Chow Diet",FALSE,FALSE,28.1
"185","C57BL/6J-EarTag #108",2061504,"C57BL/6J","+/+",152,"Body Weight",32220,"fed","Normal Chow Diet",FALSE,FALSE,32.22
"186","C57BL/6J-EarTag #109",2061504,"C57BL/6J","+/+",152,"Body Weight",29630,"fed","Normal Chow Diet",FALSE,FALSE,29.63
"187","C57BL/6J-EarTag #110",2061504,"C57BL/6J","+/+",152,"Body Weight",30960,"fed","Normal Chow Diet",FALSE,FALSE,30.96
"188","C57BL/6J-EarTag #111",2061505,"C57BL/6J","+/+",152,"Body Weight",41850,"fed","High Fat Diet",TRUE,FALSE,41.85
"189","C57BL/6J-EarTag #112",2061505,"C57BL/6J","+/+",152,"Body Weight",43290,"fed","High Fat Diet",TRUE,FALSE,43.29
